200,English,Русский,French,Danish,Indonesian,Korean,Swedish,Tuskish,Ukranian,Vietnamese,Hungarian,German,Finnish,Czech,Italian,Norwegian,Chinese Trad,Chinese Simplified,Thai,Japanese,Romanian ,Arabic,Slovak,Spanish,Polish,Dutch,Portugese,hebrew
Canada_Ontario_Northeastern_SW,Sault Ste. Marie,Су-Сент-Мари,Sault-Sainte-Marie,Sault Ste. Marie,Sault Ste. Marie,수세인트마리,Sault Ste. Marie,Sault Ste. Marie,Су-Сен-Марі,Sault Ste. Marie,Sault Ste.  Marie ,Sault Ste. Marie,Sault Ste. Marie,Sault Ste. Marie (Ontario),Sault Sainte Marie,Sault Ste. Marie,蘇聖瑪麗,苏圣玛丽,ซูเซนต์มารี,スーセントマリー,Sault Sainte Marie,سو ساينت ماري,Sault Ste. Marie,Sault Ste. Marie,Sault Ste. Marie,Sault Ste. Marie,Sault Ste. Marie,
Canada_Ontario_Northeastern_Wawa,Wawa,Вава,Wawa,Wawa,Wawa,와와,Wawa,Wawa,Вава,Wawa,Wawa,Wawa,Wawa,Wawa,Wawa,Wawa,沃瓦,沃瓦,วาวา,ワワ,Wawa,واو,Wawa,Wawa,Wawa,Wawa,Wawa,
Canada_Ontario_Northern,Thunder Bay,Тандер-Бей,Thunder Bay,Thunder Bay,Teluk Guntur,선더베이,Thunder Bay,Thunder Bay,Тандер-Бей,Thunder Bay,Thunder Bay ,Thunder Bay,Thunder Bay,Thunder Bay,Thunder Bay,Thunder Bay,桑德貝,桑德贝,ธันเดอร์เบย์,サンダーベイ,Thunder Bay,ثاندر باي، أونتاريو,Thunder Bay,Thunder Bay,Thunder Bay,Thunder Bay,Thunder Bay,ת'אנדר ביי
Canada_Ontario_Northwestern,Ontario — North,Онтарио — Север,Ontario — Nord,Ontario — Nord,Ontario — Utara,온타리오 주 — 북,Ontario — Nord,Ontario — Kuzey,Онтаріо — Північ,Ontario — Bắc,Ontario — Észak,Ontario — Norden,Ontario — Pohjoinen,Ontario — Sever,Ontario — Nord,Ontario — Nord,安大略省 - 北部,安大略省 - 北部,รัฐออนแทรีโอ — เหนือ,オンタリオ州・北部,Ontario — Nord,أونتاريو — شمال,Ontário — Sever,Ontario — Norte,Ontario — Północ,Ontario — Noord,Ontário — Norte,אונטריו — צָפוֹן
Canada_Ontario_Toronto,Toronto,Торонто,Toronto,Toronto,Toronto,토론토,Toronto,Toronto,Торонто,Toronto,Toronto,Toronto,Toronto,Toronto,Toronto,Toronto,多倫多,多伦多,โทรอนโต,トロント,Toronto,تورونتو,Toronto,Toronto,Toronto,Toronto,Toronto,טורונטו
Canada_Prince Edward Island,Prince Edward Island,Остров Принца Эдуарда,Île-du-Prince-Édouard,Prince Edward Island,Pulau Pangeran Edward,프린스에드워드아일랜드 주,Prince Edward Island,Prens Edward Adası,Острів Принца Едварда,Đảo Hoàng tử Edward,Prince Edward-sziget,Prince Edward Island,Prinssi Edwardin saari,Ostrov prince Edwarda,Isola del Principe Edoardo,Prince Edward Island,愛德華王子島,爱德华王子岛,รัฐปรินซ์เอ็ดเวิร์ดไอแลนด์,プリンスエドワードアイランド州,Insula Prințului Edward,جزيرة الأمير إدوارد,Ostrov princa Eduarda,Isla del Príncipe Eduardo,Wyspa Księcia Edwarda,Prins Edwardeiland,Ilha do Príncipe Eduardo,אי הנסיך אדוארד
Canada_Quebec,Quebec,Квебек,Québec,Québec,Quebec,퀘벡 주,Québec,Québec,Квебек,Québec,Québec,Québec,Quebec,Québec,Québec,Québec,魁北克,魁北克,รัฐควิเบก,ケベック州,Provincia Québec,كيبك,Quebec,Quebec,Quebec,Québec,Quebec,קוויבק
Canada_Quebec_Quebec,Quebec City,Квебек,Québec,Québec,Kota Quebec,퀘벡,Québec,Québec,Квебек,Thành phố Québec,Québec,Québec,Quebec,Québec,Québec,Québec,魁北克市,魁北克市,ควิเบก,ケベック・シティー,Québec,مدينة كيبك,Quebec,Quebec,Québec,Québec,Quebec,קוויבק סיטי
Canada_Quebek_Far North,Quebec — North,Квебек — Север,Québec — Nord,Québec — Nord,Quebec — Utara,퀘벡 주 — 북,Québec — Nord,Québec — Kuzey,Квебек — Північ,Québec — Bắc,Québec — Észak,Québec — Norden,Quebec — Pohjoinen,Québec — Sever,Québec — Nord,Québec — Nord,魁北克 - 北部,魁北克 - 北部,รัฐควิเบก — เหนือ,ケベック州・北部,Provincia Québec — Nord,كيبك — شمال,Quebec — Sever,Quebec — Norte,Quebec — Północ,Québec — Noord,Quebec — Norte,קוויבק — צָפוֹן
Canada_Quebek_Montreal,Montreal,Монреаль,Montréal,Montreal,Montreal,몬트리올,Montréal,Montreal,Монреаль,Montréal,Montréal,Montreal,Montreal,Montréal,Montréal,Montréal,蒙特利爾,蒙特利尔,มอนทรีออล,モントリオール,Montréal,مونتريال,Montreal,Montreal,Montreal,Montreal,Montreal,מונטריאול
Canada_Quebek_North,Sept-Îles,Сет-Иль,Sept-Îles,Sept-Îles,Sept-Îles,스텝 - 아이레스,Sept-Îles,Sept-Îles,Сет-Іль,Sept-Îles,Sept-Îles,Sept-Îles,Sept-Îles,Sept-Îles,Sept-Îles,Sept-Îles,七島港,七岛港,เซอิล,セティル,Sept-Îles,سات إيل، كيبك,Sept-Îles,Sept-Îles,Sept-Îles,Sept-Îles,Sept-Îles,
Canada_Quebek_Southeast_Rimouski,Rimouski,Римуски,Rimouski,Rimouski,Rimouski,리무스키,Rimouski,Rimouski,Рімускі,Rimouski,Rimouski,Rimouski,Rimouski,Rimouski,Rimouski,Rimouski,裏姆斯基,里姆斯基,ริมูสกี,リムースキ,Rimouski,ريموسكي، كيبك,Rimouski,Rimouski,Rimouski,Rimouski,Rimouski,
Canada_Quebek_Southeast_Saguenay,Saguenay,Сагеней,Saguenay,Saguenay,Saguenay,사그네,Saguenay,Saguenay,Сагне,Saguenay,Saguenay,Saguenay,Saguenay,Saguenay,Saguenay,Saguenay,薩格奈,萨格奈,ซากีเนย์,サグネ,Saguenay,ساغينيه,Saguenay,Saguenay,Saguenay,Saguenay,Saguenay,סאגנה
Canada_Quebek_West_Chibougamau,Chibougamau,Шибугамо,Chibougamau,Chibougamau,Chibougamau,시부가모,Chibougamau,Chibougamau,Шібугамо,Chibougamau,Chibougamau ,Chibougamau,Chibougamau,Chibougamau,Chibougamau,Chibougamau,希布加莫,希布加莫,ชิโบกาเมา,チブーガモー,Chibougamau,شيبوغامو,Chibougamau,Chibougamau,Chibougamau,Chibougamau,Chibougamau,
Canada_Quebek_West_Rouyn-Noranda,Rouyn-Noranda,Руэн-Норанда,Rouyn-Noranda,Rouyn-Noranda,Rouyn-Noranda,루앵 - 노르안다,Rouyn-Noranda,Rouyn-Noranda,Руен-Норанда,Rouyn-Noranda,Rouyn-Noranda,Rouyn-Noranda,Rouyn-Noranda,Rouyn-Noranda,Rouyn-Noranda,Rouyn-Noranda,魯安 - 諾蘭達,鲁安 - 诺兰达,โรน-นอรันดา,イーヌ＝ノランダ,Rouyn-Noranda,رووان نوراندا، كيبك,Rouyn-Noranda,Rouyn-Noranda,Rouyn-Noranda,Rouyn-Noranda,Rouyn-Noranda,
Canada_Saskatchewan,Saskatchewan,Саскачеван,Saskatchewan,Saskatchewan,Saskatchewan,서스캐처원 주,Saskatchewan,Saskatchewan,Саскачеван,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,薩斯喀徹溫,萨斯喀彻温,รัฐซัสแคตเชวัน,サスカチュワン州,Saskatchewan,ساسكاتشوان,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,ססקצ'ואן
Canada_Saskatchewan_North,Saskatchewan — North,Саскачеван — Север,Saskatchewan — Nord,Saskatchewan — Nord,Saskatchewan — Utara,서스캐처원 주 — 북,Saskatchewan — Nord,Saskatchewan — Kuzey,Саскачеван — Північ,Saskatchewan — Bắc,Saskatchewan — Észak,Saskatchewan — Norden,Saskatchewan — Pohjoinen,Saskatchewan — Sever,Saskatchewan — Nord,Saskatchewan — Nord,薩斯喀徹溫省 - 北部,萨斯喀彻温省 - 北部,รัฐซัสแคตเชวัน — เหนือ,サスカチュワン州・北部,Saskatchewan — Nord,ساسكاتشوان — شمال,Saskatchewan — Sever,Saskatchewan — Norte,Saskatchewan — Północ,Saskatchewan — Noord,Saskatchewan — Norte,ססקצ'ואן — צָפוֹן
Canada_Saskatchewan_South,Saskatchewan — South,Саскачеван — Юг,Saskatchewan — Sud,Saskatchewan — Syd,Saskatchewan — Selatan,서스캐처원 주 — 남,Saskatchewan — Syd,Saskatchewan — Güney,Саскачеван — Південь,Saskatchewan — Nam,Saskatchewan — Dél,Saskatchewan — Süden,Saskatchewan — Etelä,Saskatchewan — Jih,Saskatchewan — Sud,Saskatchewan — Sør,薩斯喀徹溫省 - 南部,萨斯喀彻温省 - 南部,รัฐซัสแคตเชวัน — ใต้,サスカチュワン州・南部,Saskatchewan — Sud,ساسكاتشوان — جنوب,Saskatchewan — Juh,Saskatchewan — Sur,Saskatchewan — Południe,Saskatchewan — Zuid,Saskatchewan — Sul,ססקצ'ואן — דָרוֹם
Canada_Yukon,Yukon,Юкон,Yukon,Yukon,Yukon,유콘 준주,Yukon,Yukon,Юкон,Yukon,Yukon,Yukon,Yukon,Yukon,Yukon,Yukon,育空,育空,ยูคอน,ユーコン準州,Yukon,يوكون,Yukon,Yukón,Jukon,Yukon,Yukon,יוקון
Canada_Yukon_North,Yukon — North,Юкон — Север,Yukon — Nord,Yukon — Nord,Yukon — Utara,유콘 준주 — 북,Yukon — Nord,Yukon — Kuzey,Юкон — Північ,Yukon — Bắc,Yukon — Észak,Yukon — Norden,Yukon — Pohjoinen,Yukon — Sever,Yukon — Nord,Yukon — Nord,育空 - 北部,育空 - 北部,ยูคอน — เหนือ,ユーコン準州・北部,Yukon — Nord,يوكون — شمال,Yukon — Sever,Yukón — Norte,Jukon — Północ,Yukon — Noord,Yukon — Norte,יוקון — צָפוֹן
Canada_Yukon_Whitehorse,Whitehorse,Уайтхорс,Whitehorse,Whitehorse,"Whitehorse, Yukon",화이트호스,Whitehorse,Whitehorse,Вайтхорс,Whitehorse,Whitehorse,Whitehorse,Whitehorse,Whitehorse,Whitehorse,Whitehorse,白馬市,白马市,ไวท์ฮอร์ส,ホワイトホース,"Whitehorse, Yukon",وايت هورس ، يوكون,Whitehorse,Whitehorse,Whitehorse,Whitehorse,Whitehorse,וייטהורס
Cape Verde,Cape Verde,Кабо-Верде,Cap-Vert,Kap Verde,Tanjung Verde,카보베르데,Kap Verde,Yeşil Burun Adaları,Кабо-Верде,Cabo Verde,Zöld-foki Köztársaság,Kap Verde,Kap Verde,Kapverdy,Capo Verde,Kapp Verde,佛得角,佛得角,ประเทศกาบูเวร์ดี,カーボベルデ,Republica Capului Verde,الرأس الأخضر,Kapverdy,Cabo Verde,Republika Zielonego Przylądka,Kaapverdië,Cabo Verde,כף ורדה
Caribees,Lesser Antilles,Малые Антильские острова,Petites Antilles,Små Antiller,Antillen Kecil,소앤틸리스 제도,Små Antillerna,Küçük Antiller,Малі Антильські острови,Tiểu Antilles,Kis-Antillák,Kleine Antillen,Pienet Antillit,Malé Antily,Piccole Antille,De små antillene,小安的列斯群島,小安的列斯群岛,เลสเซอร์แอนทิลลีส,小アンティル諸島,Antilele Mici,جزر الأنتيل الصغرى,Malé Antily,Antillas Menores,Małe Antyle,Kleine Antillen,Pequenas Antilhas,האנטילים הקטנים
Caribisch Nederland,Caribbean Netherlands,"Бонэйр, Синт-Эстатиус и Саба",Pays-Bas caribéens,Nederlandske Antiller,Kepulauan BES,네덜란드령 카리브 해 지역,Karibiska Nederländerna,Hollanda Karayipleri,Нідерландські Карибські острови,Caribe Hà Lan,Karibi Hollandia,Karibische Niederlande,Karibian Alankomaat,Karibské Nizozemsko,Isole BES,Karibisk Nederland,荷蘭加勒比區,荷兰加勒比区,แคริเบียน เนเธอร์แลนด์,ボネール、シント・ユースタティウスおよびサバ,Regatul Țărilor de Jos - regiunile insulare din Caraibe,الجزر الكاريبية الهولندية,Karibské Holandsko,Caribe Neerlandés,Niderlandy Karaibskie,Caribisch Nederland,Países Baixos Caribenhos,
Cayman Islands,Cayman Islands,Каймановы острова,Îles Caïmans,Caymanøerne,Kepulauan Cayman,케이맨 제도,Caymanöarna,Cayman Adaları,Кайманові острови,Quần đảo Cayman,Kajmán-szigetek,Cayman Islands,Caymansaaret,Kajmanské ostrovy,Isole Cayman,Caymanøyene,開曼群島,开曼群岛,หมู่เกาะเคย์แมน,ケイマン諸島,Insulele Cayman,جزر كايمان,Kajmanie ostrovy,Islas Caimán,Kajmany,Kaaimaneilanden,Ilhas Cayman,איי קיימן
Central African Republic,Central African Republic,Центральноафриканская Республика,République centrafricaine,Centralafrikanske Republik,Republik Afrika Tengah,중앙아프리카 공화국,Centralafrikanska republiken,Orta Afrika Cumhuriyeti,Центральноафриканська Республіка,Cộng hòa Trung Phi,Közép-afrikai Köztársaság,Zentralafrikanische Republik,Keski-Afrikan tasavalta,Středoafrická republika,Repubblica Centrafricana,Den sentralafrikanske republikk,中非共和國,中非共和国,สาธารณรัฐแอฟริกากลาง,中央アフリカ共和国,Republica Centrafricană,جمهورية أفريقيا الوسطى,Stredoafrická republika,República Centroafricana,Republika Środkowoafrykańska,Centraal-Afrikaanse Republiek,República Centro-Africana,הרפובליקה המרכז-אפריקאית
Central Anatolia Region,Central Anatolia Region,Центральная Анатолия,région de l'Anatolie centrale,Centralanatolien,Kawasan Anatolia Tengah,중앙아나톨리아 지역,Centrala Anatolien,İç Anadolu Bölgesi,Центральна Анатолія,"Central Anatolia Region, Thổ Nhĩ Kỳ",Közép-anatóliai régió,Zentralanatolien,Keski-Anatolian alue,Střední Anatolie,Regione dell'Anatolia Centrale,Sentral-Anatolia,中部安那托利亞地區,中部安那托利亚地区,ภูมิภาคแอนาโตเลียกลาง,中央アナトリア地方,Regiunea Anatolia Centrală,منطقة وسط الأناضول,Región Stredná Anatólia,Región de Anatolia Central,Region Centralnej Anatolii,Centraal-Anatolië,Região da Anatólia Central,מחוז מרכז אנטוליה
Chad,Chad,Чад,Tchad,Tchad,Chad,차드,Tchad,Çad,Чад,Tchad,Csád,Tschad,Tšad,Čad,Ciad,Tsjad,乍得,乍得,ประเทศชาด,チャド,Ciad,تشاد,Čad,Chad,Czad,Tsjaad,Chade,צ'אד
Chile,Chile,Чили,Chili,Chile,Chili,칠레,Chile,Şili,Чилі,Chile,Chile,Chile,Chile,Chile,Cile,Chile,智利,智利,ประเทศชิลี,チリ,Chile,تشيلي,Čile,Chile,Chile,Chili,Chile,צ'ילה
Chile_North,Chile — North,Чили — Север,Chili — Nord,Chile — Nord,Chili — Utara,칠레 — 북,Chile — Nord,Şili — Kuzey,Чилі — Північ,Chile — Bắc,Chile — Észak,Chile — Norden,Chile — Pohjoinen,Chile — Sever,Cile — Nord,Chile — Nord,智利 - 北部,智利 - 北部,ประเทศชิลี — เหนือ,チリ・北部,Chile — Nord,تشيلي — شمال,Čile — Sever,Chile — Norte,Chile — Północ,Chili — Noord,Chile — Norte,צ'ילה — צָפוֹן
Chile_South,Chile — South,Чили — Юг,Chili — Sud,Chile — Syd,Chili — Selatan,칠레 — 남,Chile — Syd,Şili — Güney,Чилі — Південь,Chile — Nam,Chile — Dél,Chile — Süden,Chile — Etelä,Chile — Jih,Cile — Sud,Chile — Sør,智利 - 南部,智利 - 南部,ประเทศชิลี — ใต้,チリ・南部,Chile — Sud,تشيلي — جنوب,Čile — Juh,Chile — Sur,Chile — Południe,Chili — Zuid,Chile — Sul,צ'ילה — דָרוֹם
China_Anhui,Anhui,Аньхой,Anhui,Anhui,Anhui,안후이 성,Anhui,Anhui,Аньхой,An Huy,Anhuj,Anhui,Anhui,An-chuej,Anhui,Anhui,安徽省,安徽省,มณฑลอานฮุย,安徽省,Anhui,آنهوي,An-chuej,Anhui,Anhui,Anhui,Anhui,אנחווי
China_Chongqing,Chongqing,Чунцин,Chongqing,Chongqing,Chongqing,충칭 시,Chongqing,Çongçing,Чунцін,Trùng Khánh,Csungking,Chongqing,Chongqing,Čchung-čching,Chongqing,Chongqing,重慶市,重庆市,ฉงชิ่ง,重慶市,Chongqing,تشونغتشينغ,Čchung-čching,Chongqing,Chongqing,Chongqing,Chongqing,צ'ונגצ'ינג
China_Fujian,Fujian,Фуцзянь,Fujian,Fujian,Fujian,푸젠 성,Fujian,Fujian,Фуцзянь,Phúc Kiến,Fucsien,Fujian,Fujian,Fu-ťien,Fujian,Fujian,福建省,福建省,มณฑลฝูเจี้ยน,福建省,Fujian,فوجيان,Fujian,Fujian,Fujian,Fujian,Fujian,פוג'יין
China_Gansu,Gansu,Ганьсу,Gansu,Gansu,Gansu,간쑤 성,Gansu,Kansu,Ґаньсу,Cam Túc,Kanszu,Gansu,Gansu,Kan-su,Gansu,Gansu,甘肅省,甘肃省,มณฑลกานซู,甘粛省,Gansu,قانسو,Gansu,Gansu,Gansu,Gansu,Gansu,גאנסו
China_Guangdong,Guangdong,Гуандун,Guangdong,Guangdong,Guangdong,광둥 성,Guangdong,Guangdong,Гуандун,Quảng Đông,Kuangtung,Guangdong,Guangdong,Kuang-tung,Guangdong,Guangdong,廣東省,广东省,มณฑลกวางตุ้ง,広東省,Guangdong,قوانغدونغ,Guangdong,Provincia de Cantón,Guangdong,Guangdong,Guangdong,גואנגדונג
China_Guangxi,Guangxi Zhuang Autonomous Region,Гуанси-Чжуанский автономный район,Guangxi,Guangxi,Guangxi,광시 좡족 자치구,Guangxi,Guangxi Zhuang Özerk Bölgesi,Гуансі-Чжуанський автономний район,Quảng Tây,Kuanghszi,Guangxi,Guangxi,Kuang-si,Guangxi,Guangxi,廣西壯族自治區,广西壮族自治区,เขตปกครองตนเองกว่างซีจ้วง,広西チワン族自治区,Guangxi,قوانغشي,Guangxi Zhuang autonómna oblasť,Guangxi,Kuangsi,Guangxi,Guangxi,גואנגשי
China_Guizhou,Guizhou,Гуйчжоу,Guizhou,Guizhou,Guizhou,구이저우 성,Guizhou,Guizhou,Ґуйчжоу,Quý Châu,Kujcsou,Guizhou,Guizhou,Kuej-čou,Guizhou,Guizhou,貴州省,贵州省,มณฑลกุ้ยโจว,貴州省,Guizhou,قويتشو,Guizhou,Guizhou,Kuejczou,Guizhou,Guizhou,גוויג'ואו
China_Hebei,Hebei,Хэбэй,Hebei,Hebei,Hebei,허베이 성,Hebei,Hebei,Хебей,Hà Bắc,Hopej,Hebei,Hebei,Che-pej,Hebei,Hebei,河北省,河北省,มณฑลเหอเป่ย์,河北省,Hebei,خبي,Hebei,Hebei,Hebei,Hebei,Hebei,חביי
China_Heilongjiang,Heilongjiang,Хэйлунцзян,Heilongjiang,Heilongjiang,Heilongjiang,헤이룽장 성,Heilongjiang,Heilongjiang,Провінція Хейлунцзян,Hắc Long Giang,Hejlungcsiang,Heilongjiang,Heilongjiang,Chej-lung-ťiang,Heilongjiang,Heilongjiang,黑龍江省,黑龙江省,มณฑลเฮย์หลงเจียง,黒竜江省,Heilongjiang,هيلونغجيانغ,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang,חיילונגג'יאנג
China_Henan,Henan,Хэнань,Henan,Henan,Henan,허난 성,Henan,Henan,Хенань,Hà Nam,Honan,Henan,He'nan,Che-nan,Henan,Henan,河南省,河南省,มณฑลเหอหนาน,河南省,Henan,هنان,Henan,Henan,Henan,Henan,Henan,חנאן
China_Hubei,Hubei,Хубэй,Hubei,Hubei,Hubei,후베이 성,Hubei,Hubei,Хубей,Hồ Bắc,Hupej,Hubei,Hubei,Chu-pej,Hubei,Hubei,湖北省,湖北省,มณฑลหูเป่ย์,湖北省,Hubei,هوبيي,Hubei,Hubei,Hubei,Hubei,Hubei,חוביי
China_Hunan,Hunan,Хунань,Hunan,Hunan,Hunan,후난 성,Hunan,Hunan,Хунань,Hồ Nam,Hunan,Hunan,Hunan,Chu-nan,Hunan,Hunan,湖南省,湖南省,มณฑลหูหนาน,湖南省,Hunan,هونان,Hunan,Hunan,Hunan,Hunan,Hunan,חונאן
China_Inner Mongolia,Inner Mongolia,Внутренняя Монголия,Mongolie-intérieure,Indre Mongoliet,Mongolia Dalam,내몽골 자치구,Inre Mongoliet,İç Moğolistan,Внутрішня Монголія,Nội Mông,Belső-Mongólia,Innere Mongolei,Sisä-Mongolia,Vnitřní Mongolsko,Mongolia Interna,Indre Mongolia,內蒙古自治區,内蒙古自治区,เขตปกครองตนเองมองโกเลียใน,内モンゴル自治区,Mongolia Interioară,منغوليا الداخلية,Vnútorné Mongolsko,Mongolia Interior,Mongolia Wewnętrzna,Binnen-Mongolië,Mongólia Interior,מונגוליה הפנימית
China_Jiangsu,Jiangsu,Цзянсу,Jiangsu,Jiangsu,Jiangsu,장쑤 성,Jiangsu,Jiangsu,Цзянсу,Giang Tô,Csiangszu,Jiangsu,Jiangsu,Ťiang-su,Jiangsu,Jiangsu,江蘇省,江苏省,มณฑลเจียงซู,江蘇省,Jiangsu,جيانغسو,Jiangsu,Jiangsu,Jiangsu,Jiangsu,Jiangsu,ג'יאנגסו
China_Jiangxi,Jiangxi,Цзянси,Jiangxi,Jiangxi,Jiangxi,장시 성,Jiangxi,Jiangxi,Цзянсі,Giang Tây,Csianghszi,Jiangxi,Jiangxi,Ťiang-si,Jiangxi,Jiangxi,江西省,江西省,มณฑลเจียงซี,江西省,Jiangxi,جيانغشي,Jiangxi,Jiangxi,Jiangxi,Jiangxi,Jiangxi,ג'יאנגשי
China_Jilin,Jilin,Гирин,Jilin,Jilin,Jilin,지린 성,Jilin,Jilin,Цзілінь,Cát Lâm,Csilin,Jilin,Jilin,Ťi-lin,Jilin,Jilin,吉林省,吉林省,มณฑลจี๋หลิน,吉林省,Jilin,جيلين,Jilin,Jilin,Jilin,Jilin,Jilin,ג'ילין
China_Liaoning,Liaoning,Ляонин,Liaoning,Liaoning,Liaoning,랴오닝 성,Liaoning,Liaoning,Ляонін,Liêu Ninh,Liaoning,Liaoning,Liaoning,Liao-ning,Liaoning,Liaoning,遼寧省,辽宁省,มณฑลเหลียวหนิง,遼寧省,Liaoning,لياونينغ,Liaoning,Liaoning,Liaoning,Liaoning,Liaoning,ליאונינג
China_Ningxia Hui,Ningxia Hui Autonomous Region,Нинся-Хуэйский автономный район,Níngxià,Ningxia,Ningxia,닝샤 후이족 자치구,Ningxia,Ningxia Huizu Özerk Bölgesi,Нінся-Хуейський автономний район,Ninh Hạ,Ninghszia,Ningxia,Ningxia,Ning-sia,Ningsia,Ningxia,寧夏回族自治區,宁夏回族自治区,เขตปกครองตนเองหนิงเซี่ยหุย,寧夏回族自治区,Ningxia,نينغشيا,Ningxia Hui autonómna oblasť,Ningxia,Ningxia,Ningxia,Ningxia,נינגשיה
China_Qinghai,Qinghai,Цинхай,Qinghai,Qinghai,Qinghai,칭하이 성,Qinghai,Çinghay,Цінхай,Thanh Hải,Csinghaj,Qinghai,Qinghai,Čching-chaj,Qinghai,Qinghai,青海省,青海省,มณฑลชิงไห่,青海省,Qinghai,تشينغهاي,Qinghai,Qinghai,Qinghai,Qinghai,Qinghai,צ'ינגהאי
China_Shaanxi,Shaanxi,Шэньси,Shaanxi,Shaanxi,Shaanxi,산시 성,Shaanxi,Şensi,Шеньсі,Thiểm Tây,Senhszi,Shaanxi,Shaanxi,Šen-si,Shaanxi,Shaanxi,陝西省,陕西省,มณฑลส่านซี,陝西省,Shaanxi,شنشي,Shaanxi,Shaanxi,Shaanxi,Shaanxi,Shaanxi,שאאנשי
China_Shandong,Shandong,Шаньдун,Shandong,Shandong,Shandong,산둥 성,Shandong,Şantung,Шаньдун,Sơn Đông,Santung,Shandong,Shandong,Šan-tung,Shandong,Shandong,山東省,山东省,มณฑลซานตง,山東省,Shandong,شاندونغ,Shandong,Shandong,Szantung,Shandong,Shandong,שאנדונג
China_Shanghai,Shanghai,Шанхай,Shanghai,Shanghai,Shanghai,상하이 시,Shanghai,Şanghay,Шанхай,Thượng Hải,Sanghaj,Shanghai,Shanghai,Šanghaj,Shanghai,Shanghai,上海市,上海市,เซี่ยงไฮ้,上海市,Shanghai,شانغهاي,Šanghaj,Shanghái,Szanghaj,Shanghai,Xangai,שאנגחאי
China_Shanxi,Shanxi,Шаньси,Shanxi,Shanxi,Shanxi,산시 성,Shanxi,Şansi,Шаньсі,Sơn Tây,Sanhszi,Shanxi,Shanxi,Šan-si,Shanxi,Shanxi,山西省,山西省,มณฑลซานซี,山西省,Shanxi,شانسي,Shanxi,Shanxi,Shanxi,Shanxi,Shanxi,שאנשי
China_Sichuan,Sichuan,Сычуань,Sichuan,Sichuan,Sichuan,쓰촨 성,Sichuan,Siçuan,Сичуань,Tứ Xuyên,Szecsuan,Sichuan,Sichuan,S'-čchuan,Sichuan,Sichuan,四川省,四川省,มณฑลเสฉวน,四川省,Sichuan,سيشوان,S’-čchuan,Sichuan,Syczuan,Sichuan,Sichuan,סצ'ואן
China_Tibet Autonomous Region,Tibet Autonomous Region,Тибетский автономный район,Région autonome du Tibet,Autonom Region Tibet,Tibet,티베트 자치구,Autonoma regionen Tibet,Tibet Özerk Bölgesi,Тибетський автономний район,Khu tự trị Tây Tạng,Tibeti autonóm tartomány,Autonomes Gebiet Tibet,Tiibetin autonominen alue,Tibetská autonomní oblast,regione autonoma del Tibet,Tibet,西藏自治區,西藏自治区,เขตปกครองตนเองทิเบต,チベット自治区,Regiunea autonomă Tibet,أزمة التبت والصين,Tibet,Tíbet,Tybetański Region Autonomiczny,Tibetaanse Autonome Regio,Região Autônoma do Tibete,המחוז האוטונומי הטיבטי
China_Xinjiang,Xinjiang Uyghur Autonomous Region,Синьцзян-Уйгурский автономный район,Xinjiang,Xinjiang,Xinjiang,신장 위구르 자치구,Xinjiang,Sincan Uygur Özerk Bölgesi,Сіньцзян-Уйгурський автономний район,Tân Cương,Hszincsiang–Ujgur Autonóm Terület,Xinjiang,Xinjiang,Sin-ťiang,Sinkiang,Xinjiang,新疆維吾爾自治區,新疆维吾尔自治区,เขตปกครองตนเองซินเจียงอุยกูร์,新疆ウイグル自治区,Xinjiang,شينجيانغ,Sin-ťiang,Sinkiang,Sinciang,Sinkiang,Xinjiang,שינג'יאנג
China_Yunnan,Yunnan,Юньнань,Yunnan,Yunnan,Yunnan,윈난 성,Yunnan,Yünnan,Юньнань,Vân Nam,Jünnan,Yunnan,Yunnan,Jün-nan,Yunnan,Yunnan,雲南省,云南省,มณฑลยูนนาน,雲南省,Yunnan,يونان,Jün-nan,Yunnan,Junnan,Yunnan,Yunnan,יונאן
China_Zhejiang,Zhejiang,Чжэцзян,Zhejiang,Zhejiang,Zhejiang,저장 성,Zhejiang,Zhejiang,Чжецзян,Chiết Giang,Csöcsiang,Zhejiang,Zhejiang,Če-ťiang,Zhejiang,Zhejiang,浙江省,浙江省,มณฑลเจ้อเจียง,浙江省,Zhejiang,جيجيانغ,Če-ťiang,Zhejiang,Zhejiang,Zhejiang,Zhejiang,ג'ג'יאנג
Colombia,Colombia,Колумбия,Colombie,Colombia,Kolombia,콜롬비아,Colombia,Kolombiya,Колумбія,Colombia,Kolumbia,Kolumbien,Kolumbia,Kolumbie,Colombia,Colombia,哥倫比亞,哥伦比亚,ประเทศโคลอมเบีย,コロンビア,Columbia,كولومبيا,Kolumbia,Colombia,Kolumbia,Colombia,Colômbia,קולומביה
